obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
81,1652233433,208.5,20220511 09:43:52,9:43:52,0,1652233433,0.001738022,1.738021661,8.250202488,400.014,257.834754,25.95461853,40.26691753,0.100848211,3.025713943,0.099017394,0.062047594,144.1042244,27.51727321,26.7295,3.522689859,49.97445828,1.802505609,3.606853723,1.72018425,-76.64675527,65.54253617,4.671627847,137.6716332,8.109516746,1.732791488,8.250202488,410.6658197,407.3086182,5.42E-05,66.83704872,1.738021661,17.22399959,17.90655055,3.99E-07,86.59541668,0,0,1,0,53314.68518,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,734.502828,8.250202488,#DIV/0!,0.011232363,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,871.296,734.502828,0.843000344,0.165390665,2,0.5,0: Broadleaf,2,TRUE,1652233433,400.014,403.534,17.9062,17.2257,395.395,17.6923,500.151,100.564,0.0997706,27.1313,26.7295,999.9,0,0,10031.9,0,3.55659,871.296,0.899988,0.100012,0,1.5827,0,4430.74,8413.96,40.687,43.625,42.312,42.437,40.812,784.16,87.14,0,1652233433,0,1.728488,-0.001676924,-268.1415389,4463.102,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.571158537,-0.162653937,0.031502634,1,1.724222857,0.144356947,0.178931237,1,0.682849073,-0.018019735,0.001918914,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.2,3.2,18,504.795,456.234,25,28.2047,30.0002,28.1805,28.0601,19.2994,24.165,68.5618,25,403.534,17.2268,87.6507,101.328
82,1652233435,210.5,20220511 09:43:54,9:43:54,0,1652233435,0.00173524,1.735240147,8.178585114,399.997,258.6406186,26.03579775,40.26529573,0.100606307,3.023948422,0.098783134,0.061900512,143.830686,27.51402047,26.7358,3.523996153,49.98191472,1.802499548,3.606303517,1.721496604,-76.5240905,64.05335047,4.56823422,135.9281802,8.136776057,1.730500961,8.178585114,410.6099893,407.2832485,-0.00010024,66.83704872,1.735240147,17.22489633,17.90625275,6.27E-07,86.59541668,0,0,1,0,53260.64058,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,733.107,8.178585114,#DIV/0!,0.011156059,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,869.64,733.107,0.843000552,0.165391065,2,0.5,0: Broadleaf,2,TRUE,1652233435,399.997,403.527,17.9061,17.2266,395.378,17.6922,500.225,100.564,0.0999943,27.1287,26.7358,999.9,0,0,10021.2,0,3.55659,869.64,0.899981,0.100019,0,1.7019,0,4421.73,8397.94,40.687,43.625,42.312,42.437,40.812,782.66,86.98,0,1652233435,0,1.715236,-0.43714615,-260.5353846,4452.4312,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.571130732,0.008196794,0.031354333,1,1.713012121,0.180131328,0.173610595,1,0.682411854,-0.017386892,0.001870617,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.2,3.2,18,504.759,456.172,24.9999,28.2056,30.0003,28.1817,28.0609,19.2996,24.165,68.5618,25,403.517,17.2297,87.6502,101.328
83,1652233437,212.5,20220511 09:43:56,9:43:56,0,1652233437,0.001734405,1.734404622,8.083430832,400.001,260.0914038,26.18163716,40.26538706,0.10055467,3.018670864,0.098730228,0.061867554,143.508134,27.51071142,26.7364,3.524120584,49.98994907,1.80254601,3.605816856,1.721574574,-76.48724382,63.46960762,4.534477443,135.0249752,8.222647059,1.728772343,8.083430832,410.5937851,407.3041152,4.26E-05,66.83704872,1.734404622,17.22539539,17.90660769,-1.20E-08,86.59541668,0,0,1,0,53098.32583,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,731.466915,8.083430832,#DIV/0!,0.011050986,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,867.695,731.466915,0.843000035,0.165390067,2,0.5,0: Broadleaf,2,TRUE,1652233437,400.001,403.566,17.9067,17.2277,395.382,17.6928,500.093,100.563,0.100216,27.1264,26.7364,999.9,0,0,9989.38,0,3.55659,867.695,0.899998,0.100002,0,1.6932,0,4410.89,8379.2,40.687,43.625,42.312,42.437,40.812,780.92,86.77,0,1652233437,0,1.708365385,-0.284543577,-263.1805125,4445.872692,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.569117805,0.107781115,0.033249767,1,1.706366667,-0.292937849,0.182101134,1,0.681873268,-0.016487979,0.001796487,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.3,3.2,18,504.751,456.199,25,28.2068,30.0003,28.1826,28.0621,19.2998,24.165,68.5618,25,403.579,17.2279,87.6504,101.328
84,1652233439,214.5,20220511 09:43:58,9:43:58,0,1652233439,0.001732574,1.732573853,8.250575388,399.971,257.3954463,25.91023642,40.26234077,0.100546882,3.016805288,0.098721613,0.061862242,143.3192666,27.509513,26.7288,3.522544741,49.99449642,1.802625359,3.605647597,1.719919383,-76.40650693,64.53634825,4.613346385,136.0624543,8.351342459,1.728729985,8.250575388,410.6371364,407.2804242,-6.30E-05,66.83704872,1.732573853,17.22617296,17.90658242,1.04E-07,86.59541668,0,0,1,0,53041.03651,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,730.508757,8.250575388,#DIV/0!,0.011294287,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,866.559,730.508757,0.842999446,0.165388931,2,0.5,0: Broadleaf,2,TRUE,1652233439,399.971,403.587,17.9075,17.2286,395.352,17.6936,500.154,100.563,0.10015,27.1256,26.7288,999.9,0,0,9978.12,0,3.55659,866.559,0.90002,0.0999801,0,1.5425,0,4404.66,8368.29,40.687,43.625,42.312,42.437,40.812,779.92,86.64,0,1652233439,0,1.720464,-0.570938448,-264.1192312,4436.528,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.56761,0.054866551,0.033003456,1,1.724488571,-0.197020744,0.183406798,1,0.681299,-0.016403624,0.001787712,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.3,3.3,18,504.681,456.22,25,28.2074,30.0004,28.1835,28.0627,19.3026,24.165,68.5618,25,403.672,17.2256,87.6502,101.328
85,1652233441,216.5,20220511 09:44:00,9:44:00,0,1652233441,0.001732325,1.732325359,8.422553954,399.959,254.7088912,25.63994213,40.26135707,0.100589789,3.023948422,0.098767209,0.061890507,142.997211,27.50768541,26.7243,3.521611967,49.99466146,1.80271593,3.605816856,1.718896037,-76.39554832,65.55319986,4.674879731,136.8297423,8.32559602,1.729952695,8.422553954,410.6659491,407.2397818,-0.000179009,66.83704872,1.732325359,17.22758753,17.90791978,-2.60E-08,86.59541668,0,0,1,0,53261.04874,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,728.8659,8.422553954,#DIV/0!,0.011555698,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,864.61,728.8659,0.842999618,0.165389263,2,0.5,0: Broadleaf,2,TRUE,1652233441,399.959,403.565,17.9083,17.2289,395.34,17.6944,500.139,100.564,0.0997107,27.1264,26.7243,999.9,0,0,10021.2,0,3.55659,864.61,0.90001,0.0999898,0,1.651,0,4393.9,8349.44,40.687,43.625,42.312,42.437,40.812,778.16,86.45,0,1652233441,0,1.682508,-0.390253828,-269.0569231,4425.4224,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.572330244,-0.008809547,0.035394501,1,1.714836364,-0.189348601,0.182998233,1,0.680759732,-0.014780362,0.001651333,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.3,3.3,18,504.784,456.129,24.9999,28.2086,30.0003,28.1847,28.0639,19.3009,24.165,68.5618,25,403.569,17.2258,87.6499,101.328
86,1652233443,218.5,20220511 09:44:02,9:44:02,0,1652233443,0.001729729,1.729729468,8.230651754,399.991,257.5149862,25.92248986,40.26469602,0.100376019,3.020445009,0.098559038,0.061759908,142.6777687,27.50632363,26.7287,3.522524011,49.99265926,1.802580271,3.605689911,1.71994374,-76.28106953,64.66306166,4.61683661,135.6765974,8.355689262,1.726119632,8.230651754,410.6346355,407.2844303,0.000119509,66.83704872,1.729729468,17.22862763,17.90804286,2.70E-07,86.59541668,0,0,1,0,53153.10978,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,727.234242,8.230651754,#DIV/0!,0.011317745,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,862.674,727.234242,0.84300007,0.165390134,2,0.5,0: Broadleaf,2,TRUE,1652233443,399.991,403.609,17.9069,17.2289,395.372,17.693,500.062,100.564,0.100005,27.1258,26.7287,999.9,0,0,10000,0,3.55659,862.674,0.9,0.0999996,0,1.4843,0,4383.37,8330.72,40.687,43.625,42.312,42.5,40.812,776.41,86.27,0,1652233443,0,1.673296154,-0.642683744,-277.5938458,4418.530769,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.578522683,0.00572885,0.034375041,1,1.68899697,-0.291193187,0.180559194,1,0.680318317,-0.011240404,0.001350272,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.4,3.3,18,504.701,456.122,25,28.2094,30.0003,28.1859,28.0651,19.3004,24.165,68.5618,25,403.607,17.2298,87.6496,101.327
87,1652233445,220.5,20220511 09:44:04,9:44:04,0,1652233445,0.001727504,1.727504432,8.306627278,400.008,256.2056584,25.79101767,40.26692252,0.100288903,3.016113611,0.09847249,0.061705763,142.363503,27.50449346,26.7257,3.52190214,49.99736346,1.802633535,3.605457188,1.719268605,-76.18294547,64.87928209,4.638831637,135.6986713,8.386055521,1.724786301,8.306627278,410.6765845,407.2963879,0.000109762,66.83704872,1.727504432,17.22872932,17.90709451,3.23E-07,86.59541668,0,0,1,0,53019.95597,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,725.6295,8.306627278,#DIV/0!,0.011447477,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,860.77,725.6295,0.843000453,0.165390874,2,0.5,0: Broadleaf,2,TRUE,1652233445,400.008,403.637,17.9072,17.2299,395.389,17.6933,500.192,100.565,0.100293,27.1247,26.7257,999.9,0,0,9973.75,0,3.55659,860.77,0.899989,0.100011,0,1.6101,0,4373.12,8312.31,40.687,43.625,42.312,42.437,40.812,774.68,86.09,0,1652233445,0,1.664872,-0.172307679,-282.0307697,4409.0504,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.582807561,-0.087265923,0.03778635,1,1.690157143,-0.278707632,0.211067156,1,0.679871561,-0.009813847,0.001205162,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.4,3.4,18,504.618,456.249,25,28.2103,30.0002,28.1871,28.0663,19.2995,24.165,68.5618,25,403.545,17.2283,87.6498,101.327
88,1652233447,222.5,20220511 09:44:06,9:44:06,0,1652233447,0.001730663,1.730662616,8.375551508,400.022,255.4972648,25.71934345,40.26776261,0.100569306,3.021271929,0.098745878,0.061877248,142.1331147,27.50147036,26.7184,3.520389323,50.00172487,1.802759049,3.60539372,1.717630274,-76.32222135,66.13042177,4.720035311,136.6613505,8.207992456,1.725518408,8.375551508,410.7196205,407.3114242,8.84E-05,66.83704872,1.730662616,17.22884753,17.90847033,-3.64E-07,86.59541668,0,0,1,0,53178.84629,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,724.455201,8.375551508,#DIV/0!,0.011561172,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,859.377,724.455201,0.843000454,0.165390876,2,0.5,0: Broadleaf,2,TRUE,1652233447,400.022,403.58,17.9087,17.2311,395.403,17.6948,500.182,100.564,0.09987,27.1244,26.7184,999.9,0,0,10005,0,3.55659,859.377,0.899983,0.100017,0,1.8255,0,4365.58,8298.84,40.687,43.625,42.312,42.5,40.812,773.42,85.95,0,1652233447,0,1.671416,0.379215395,-281.4815385,4398.0276,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.586765122,-0.139088571,0.039608025,1,1.683527273,-0.138763881,0.204530979,1,0.679428171,-0.00929285,0.001147302,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.4,3.4,18,504.654,456.207,25,28.2116,30.0002,28.1877,28.0673,19.2996,24.165,68.5618,25,403.601,17.2304,87.6499,101.327
89,1652233449,224.5,20220511 09:44:08,9:44:08,0,1652233449,0.001728225,1.728224769,8.165088947,400.04,258.6565695,26.03766108,40.27002276,0.100405803,3.01818538,0.09858642,0.061777231,141.8508187,27.49962809,26.72,3.520720851,50.00412702,1.802718715,3.605139859,1.718002136,-76.2147123,65.60725659,4.687492692,135.9308556,8.114802358,1.720964545,8.165088947,410.6582372,407.3346182,0.000111756,66.83704872,1.728224769,17.22977825,17.90862857,1.66E-07,86.59541668,0,0,1,0,53083.98511,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,723.019242,8.165088947,#DIV/0!,0.011293045,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,857.674,723.019242,0.84300007,0.165390135,2,0.5,0: Broadleaf,2,TRUE,1652233449,400.04,403.561,17.9081,17.2321,395.42,17.6942,500.043,100.565,0.0999904,27.1232,26.72,999.9,0,0,9986.25,0,3.55659,857.674,0.900003,0.0999974,0,1.8119,0,4356.26,8282.45,40.687,43.625,42.312,42.437,40.812,771.91,85.77,0,1652233449,0,1.688334615,0.765227356,-277.8864955,4391.110769,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.582309512,-0.072498606,0.041719645,1,1.697284848,0.005852858,0.207700243,1,0.679144,-0.010633213,0.001229926,1,3,3,3月3日,100,100,4.62,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.5,3.4,18,504.648,456.095,25,28.2122,30.0002,28.1889,28.0681,19.2981,24.165,68.5618,25,403.525,17.2295,87.6497,101.327
90,1652233451,226.5,20220511 09:44:10,9:44:10,0,1652233451,0.001724356,1.72435627,8.127020648,400.035,259.0207266,26.07455068,40.26987731,0.100214524,3.020676405,0.098403464,0.061662156,141.6705436,27.49928295,26.717,3.520099258,50.0045714,1.802734735,3.605139859,1.717364523,-76.04411149,66.14995692,4.722299048,136.498688,8.138292854,1.717557916,8.127020648,410.6322004,407.3255333,-1.28E-05,66.83704872,1.72435627,17.23074361,17.90791099,3.62E-07,86.59541668,0,0,1,0,53160.7451,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,722.100372,8.127020648,#DIV/0!,0.011254697,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,856.584,722.100372,0.84300007,0.165390135,2,0.5,0: Broadleaf,2,TRUE,1652233451,400.035,403.564,17.9081,17.2336,395.416,17.6942,500.163,100.566,0.099885,27.1232,26.717,999.9,0,0,10001.2,0,3.55659,856.584,0.899997,0.100003,0,1.7709,0,4351.03,8271.9,40.687,43.625,42.312,42.437,40.812,770.92,85.66,0,1652233451,0,1.714316,0.257715389,-267.1115389,4381.358,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.571896341,-0.049912683,0.043303222,1,1.698785714,0.143264971,0.197720085,1,0.678782024,-0.013912787,0.001482891,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.5,3.5,18,504.718,456.155,25,28.2134,30.0002,28.1898,28.0692,19.2988,24.165,68.5618,25,403.526,17.2296,87.6493,101.327
91,1652233453,228.5,20220511 09:44:12,9:44:12,0,1652233453,0.001723193,1.72319307,8.127446788,400.037,259.0650863,26.07874644,40.26966212,0.100244683,3.023353942,0.098434117,0.061681271,141.3463376,27.49770937,26.7092,3.518483566,50.00596617,1.802816754,3.605203323,1.715666812,-75.9928144,67.52885242,4.816285441,137.6986611,7.981556019,1.716076416,8.127446788,410.6412374,407.3343636,8.39E-06,66.83704872,1.72319307,17.23179374,17.90849011,-1.80E-07,86.59541668,0,0,1,0,53243.24051,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,720.451857,8.127446788,#DIV/0!,0.011281041,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,854.629,720.451857,0.842999544,0.165389119,2,0.5,0: Broadleaf,2,TRUE,1652233453,400.037,403.503,17.9091,17.2352,395.418,17.6952,500.176,100.565,0.0998438,27.1235,26.7092,999.9,0,0,10017.5,0,3.53881,854.629,0.900015,0.0999852,0,1.9906,0,4339.76,8253.06,40.687,43.625,42.312,42.437,40.812,769.18,85.45,0,1652233453,0,1.733036,1.33403077,-267.1207694,4370.4088,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.566620732,0.01705108,0.045427871,1,1.70360303,0.613117806,0.195477807,1,0.678138805,-0.016365993,0.001757608,1,3,3,3月3日,100,100,4.619,0.2139,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.5,3.5,18,504.74,456.16,25.0001,28.2143,30.0002,28.1907,28.0698,19.3008,24.165,68.5618,25,403.539,17.2275,87.6492,101.327
92,1652233455,230.5,20220511 09:44:14,9:44:14,0,1652233455,0.001722423,1.722422909,8.037032524,400.028,260.6252911,26.23584675,40.26882142,0.100333868,3.02170169,0.098519138,0.061734774,141.0300873,27.49608321,26.6989,3.516351016,50.00914712,1.802910275,3.605161014,1.713440741,-75.95885028,69.13729855,4.933440139,139.1419757,8.022787788,1.714142177,8.037032524,410.599928,407.3291091,-1.10E-06,66.83704872,1.722422909,17.23303889,17.90959231,-7.78E-08,86.59541668,0,0,1,0,53192.31306,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,718.836999,8.037032524,#DIV/0!,0.011180605,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,852.713,718.836999,0.84299993,0.165389864,2,0.5,0: Broadleaf,2,TRUE,1652233455,400.028,403.511,17.91,17.2367,395.409,17.696,500.057,100.565,0.100007,27.1233,26.6989,999.9,0,0,10007.5,0,3.51145,852.713,0.900005,0.0999951,0,1.6745,0,4329.24,8234.54,40.687,43.625,42.312,42.437,40.812,767.45,85.27,0,1652233455,0,1.727330769,0.803569223,-271.5856407,4363.559231,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.562533902,0.224617422,0.050597754,1,1.726642424,0.836566486,0.201515628,1,0.677421195,-0.019217331,0.002073936,1,3,3,3月3日,100,100,4.619,0.214,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.6,3.5,18,504.735,456.153,25.0001,28.2152,30.0003,28.1919,28.071,19.3001,24.165,68.5618,25,403.643,17.2288,87.6494,101.327
93,1652233457,232.5,20220511 09:44:16,9:44:16,0,1652233457,0.001720553,1.720553323,8.06640076,400.01,259.92399,26.16520377,40.26693789,0.100166776,3.024592089,0.098359721,0.061634467,140.7142256,27.49461467,26.7032,3.517241167,50.00819214,1.802897005,3.605203323,1.714344162,-75.87640155,68.5348782,4.885889583,138.2585918,8.168129522,1.71224439,8.06640076,410.5857683,407.3042424,-9.27E-05,66.83704872,1.720553323,17.23497113,17.91063187,2.42E-07,86.59541668,0,0,1,0,53281.45292,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,717.223857,8.06640076,#DIV/0!,0.011246699,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,850.799,717.223857,0.843000353,0.165390681,2,0.5,0: Broadleaf,2,TRUE,1652233457,400.01,403.55,17.9099,17.2375,395.391,17.6959,500.172,100.565,0.0998281,27.1235,26.7032,999.9,0,0,10025,0,3.50188,850.799,0.899993,0.100006,0,1.9358,0,4318.96,8216.04,40.687,43.625,42.312,42.437,40.812,765.71,85.09,0,1652233457,0,1.768452,0.534023066,-273.6076928,4353.8852,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.55841,0.425685157,0.055183782,1,1.730182857,0.458195695,0.198878048,1,0.676753171,-0.02077016,0.002214879,1,3,3,3月3日,100,100,4.619,0.214,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.6,3.6,18,504.662,456.213,25.0001,28.2163,30.0003,28.1925,28.0722,19.2983,24.165,68.5618,25,403.492,17.2299,87.6497,101.327
94,1652233459,234.5,20220511 09:44:18,9:44:18,0,1652233459,0.001716201,1.716201113,8.145721246,400.005,258.1725498,25.98867982,40.26610064,0.099804549,3.021470331,0.098008596,0.06141404,140.528443,27.49360809,26.7122,3.51910491,50.01523664,1.80300285,3.604907167,1.716102059,-75.6844691,66.77004912,4.765173016,136.3791961,8.131760869,1.714996165,8.145721246,410.6061607,407.2922,-8.12E-05,66.83704872,1.716201113,17.23668052,17.91065165,3.41E-07,86.59541668,0,0,1,0,53185.37057,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,716.276385,8.145721246,#DIV/0!,0.011372316,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,849.675,716.276385,0.843000424,0.165390818,2,0.5,0: Broadleaf,2,TRUE,1652233459,400.005,403.531,17.9111,17.2376,395.386,17.6971,500.157,100.564,0.0999933,27.1221,26.7122,999.9,0,0,10006.2,0,3.50188,849.675,0.899989,0.100011,0,1.6235,0,4312.91,8205.17,40.687,43.625,42.312,42.5,40.812,764.7,84.98,0,1652233459,0,1.781046154,0.030769224,-276.6331624,4347.232308,15,1652233242,9:40:42,1652233241,1652233242,1,-0.285,-0.028,4.62,0.189,403,17,0.4,0.09,-3.555615854,0.46476899,0.055769315,1,1.740072727,0.720465224,0.193658359,1,0.67619239,-0.022554042,0.002348379,1,3,3,3月3日,100,100,4.619,0.214,4.445291379,0.000676004,-7.65E-07,4.25E-10,0.065174227,-0.023951514,0.002092542,-1.49E-05,2,2268,1,30,3.6,3.6,18,504.703,456.172,25,28.2175,30.0003,28.1937,28.0734,19.3001,24.165,68.5618,25,403.56,17.2278,87.6504,101.327
